split,n_samples,base_correct_rate,base_wrong_rate,auroc_correct,auprc_correct,brier_correct,ece_correct
train,3000,0.005333333333333333,0.9946666666666667,0.9972247821715818,0.4970841784989858,0.0037599606259196535,0.005747241574137467
val,500,0.01,0.99,0.9767676767676767,0.6486956521739131,0.003581818181818182,0.0
test,500,0.012,0.988,0.9741902834008097,0.350971250971251,0.010195905835106576,0.008728087952526093
