split,n_samples,base_correct_rate,base_wrong_rate,auroc_correct,auprc_correct,brier_correct,ece_correct
train,3000,0.005333333333333333,0.9946666666666667,0.9494596179624666,0.05026996996811239,0.005698086131592173,0.007835813603476743
val,500,0.01,0.99,0.967070707070707,0.1421727395411606,0.008708093763821317,0.0
test,500,0.012,0.988,0.8503711201079623,0.060126868713379356,0.011729073811134635,0.010657371184408859
