split,n_samples,base_correct_rate,base_wrong_rate,auroc_correct,auprc_correct,brier_correct,ece_correct
train,3000,0.487,0.513,0.9474916154431506,0.9294682294404644,0.09542567649414634,0.06323134682292812
val,500,0.47,0.53,0.9039421918908068,0.8895292593520523,0.11710337419443302,1.9984014443252817e-17
test,500,0.484,0.516,0.8981757319495163,0.8821226059339415,0.12378781939537736,0.04185007355865484
