split,n_samples,base_correct_rate,base_wrong_rate,auroc_correct,auprc_correct,brier_correct,ece_correct
train,3000,0.3406666666666667,0.6593333333333333,0.6522951092150644,0.46416508219001534,0.2123900095270897,0.047619005590907204
val,500,0.342,0.6579999999999999,0.7033363550720774,0.5147125646134141,0.1977631568416251,7.716050021144837e-17
test,500,0.348,0.652,0.6498572033001903,0.4673421119998264,0.21348110140606447,0.034215515352272415
