coverage,kept,threshold_used,avg_confidence,selective_accuracy,risk
0.10020040080160321,50,0.5135632241010029,0.5451758481957425,0.54,0.45999999999999996
0.15030060120240482,75,0.4338939198351407,0.5220354507065654,0.5466666666666666,0.45333333333333337
0.20040080160320642,100,0.3033830039818134,0.474525900204787,0.49,0.51
0.250501002004008,125,0.2759434157216087,0.43758176433529916,0.448,0.552
0.30060120240480964,150,0.2548898973812666,0.40867507349233034,0.41333333333333333,0.5866666666666667
0.35070140280561124,175,0.2393417886367891,0.3856205174200395,0.4,0.6
0.40080160320641284,200,0.22408021459785,0.36651893942125907,0.375,0.625
0.45090180360721444,225,0.212398182867804,0.35010761100976745,0.35555555555555557,0.6444444444444444
0.501002004008016,250,0.1911230608139927,0.3353083771682733,0.352,0.648
0.5490981963927856,274,0.1778273848535408,0.32203063442870355,0.33941605839416056,0.6605839416058394
0.5991983967935872,299,0.1652950907115999,0.30941731095061026,0.32441471571906355,0.6755852842809364
0.6492985971943888,324,0.1518983128391567,0.29772814361900013,0.31790123456790126,0.6820987654320987
0.6993987975951904,349,0.1383493618473006,0.28671775674679584,0.30659025787965616,0.6934097421203438
0.749498997995992,374,0.1281169345082977,0.27636324728733586,0.2887700534759358,0.7112299465240641
0.7995991983967936,399,0.1180135743662038,0.26675369948798516,0.2781954887218045,0.7218045112781954
0.8496993987975952,424,0.1068139123950753,0.25767705702277194,0.27122641509433965,0.7287735849056604
0.8997995991983968,449,0.0890310004294489,0.24878589836150383,0.26280623608017817,0.7371937639198218
0.9498997995991983,474,0.0739541603821995,0.23999293325235194,0.2510548523206751,0.748945147679325
1.0,499,0.0356026812611656,0.23090194034008618,0.24048096192384769,0.7595190380761523
