band,count,fraction,avg_predicted_reliability,empirical_valid_rate,empirical_risk,min_score,max_score
Accept / low risk,150,0.30060120240480964,0.40413214772393463,0.48,0.52,0.2588033215437095,0.7998852571549082
Review / medium risk,199,0.39879759519038077,0.20756733523355975,0.1507537688442211,0.8492462311557789,0.1603886588037494,0.2586652100900334
Reject or verify / high risk,150,0.30060120240480964,0.1214943989721445,0.12,0.88,0.0626152973217147,0.1596911135723032
