band,count,fraction,avg_predicted_reliability,empirical_valid_rate,empirical_risk,min_score,max_score
Accept / low risk,150,0.30060120240480964,0.40867507349233034,0.41333333333333333,0.5866666666666667,0.2548898973812666,0.6143986968234572
Review / medium risk,199,0.39879759519038077,0.194790131059207,0.22613065326633167,0.7738693467336684,0.1383493618473006,0.2548354560199773
Reject or verify / high risk,150,0.30060120240480964,0.10103714083380842,0.08666666666666667,0.9133333333333333,0.0356026812611656,0.1382152812015211
