coverage,kept,threshold_used,avg_confidence,selective_accuracy,risk
0.10020040080160321,50,0.3721967639703316,0.4354406279581351,0.48,0.52
0.15030060120240482,75,0.3397377263247099,0.40895741570579147,0.48,0.52
0.20040080160320642,100,0.3107334566854459,0.3874417338854165,0.46,0.54
0.250501002004008,125,0.2898897273779813,0.3697764894887825,0.432,0.5680000000000001
0.30060120240480964,150,0.2747370976890654,0.35496827507353185,0.4066666666666667,0.5933333333333333
0.35070140280561124,175,0.2637606155908589,0.34273222942789133,0.37142857142857144,0.6285714285714286
0.40080160320641284,200,0.2487302128151315,0.3318866672667772,0.35,0.65
0.45090180360721444,225,0.2310006969195804,0.3216649617787551,0.3377777777777778,0.6622222222222223
0.501002004008016,250,0.219219613833999,0.31187182971785105,0.34,0.6599999999999999
0.5490981963927856,274,0.2053664785710808,0.3030938656229287,0.3175182481751825,0.6824817518248175
0.5991983967935872,299,0.191713313850315,0.29435895621250535,0.3110367892976589,0.6889632107023411
0.6492985971943888,324,0.1803214476056512,0.2859105695418688,0.2932098765432099,0.7067901234567902
0.6993987975951904,349,0.172003888979877,0.2780200433781939,0.28939828080229224,0.7106017191977078
0.749498997995992,374,0.1645950635219158,0.27070027259440665,0.27540106951871657,0.7245989304812834
0.7995991983967936,399,0.1500341842788212,0.2634914354897354,0.2706766917293233,0.7293233082706767
0.8496993987975952,424,0.140057665725751,0.25653518803452574,0.25943396226415094,0.7405660377358491
0.8997995991983968,449,0.1278495319288951,0.24971418630694017,0.2561247216035635,0.7438752783964365
0.9498997995991983,474,0.0987306618823094,0.2425820099262434,0.2489451476793249,0.751054852320675
1.0,499,0.0391900449317631,0.23456275972475493,0.24048096192384769,0.7595190380761523
