coverage,kept,threshold_used,avg_confidence,selective_accuracy,risk
0.10020040080160321,50,0.4344380436873693,0.5913035447178249,0.62,0.38
0.15030060120240482,75,0.33489623376238,0.5159280483180949,0.5733333333333334,0.42666666666666664
0.20040080160320642,100,0.3059834449407405,0.4668920814383482,0.56,0.43999999999999995
0.250501002004008,125,0.2769641201153603,0.4315970167403563,0.528,0.472
0.30060120240480964,150,0.2588033215437095,0.40413214772393463,0.48,0.52
0.35070140280561124,175,0.2471750185761396,0.3823680511728563,0.42857142857142855,0.5714285714285714
0.40080160320641284,200,0.2330063982920559,0.36455480284551656,0.405,0.595
0.45090180360721444,225,0.22043837258158,0.34931194919983466,0.3688888888888889,0.6311111111111112
0.501002004008016,250,0.2086841955482486,0.33573753623251257,0.356,0.644
0.5490981963927856,274,0.194776552755242,0.32399294556724806,0.3284671532846715,0.6715328467153285
0.5991983967935872,299,0.1796891334214177,0.31250293562537085,0.31438127090301005,0.68561872909699
0.6492985971943888,324,0.1696988428271911,0.3018746135497006,0.2993827160493827,0.7006172839506173
0.6993987975951904,349,0.1603886588037494,0.2920507789973312,0.2922636103151863,0.7077363896848137
0.749498997995992,374,0.146292634739386,0.2827485599005571,0.27807486631016043,0.7219251336898396
0.7995991983967936,399,0.1351010408934342,0.27385530273761854,0.2681704260651629,0.731829573934837
0.8496993987975952,424,0.1217010823833198,0.2651813756841862,0.2617924528301887,0.7382075471698113
0.8997995991983968,449,0.1124772259210803,0.25690940586962524,0.24944320712694878,0.7505567928730512
0.9498997995991983,474,0.0985263790698711,0.24888936306541593,0.2468354430379747,0.7531645569620253
1.0,499,0.0626152973217147,0.2407813260839484,0.24048096192384769,0.7595190380761523
