band,count,fraction,avg_predicted_reliability,empirical_valid_rate,empirical_risk,min_score,max_score
Accept / low risk,150,0.30060120240480964,0.46397970769991453,0.5,0.5,0.2586039835377138,0.8406067839991422
Review / medium risk,199,0.39879759519038077,0.18592533158004818,0.1658291457286432,0.8341708542713568,0.127493626896946,0.2583907060725915
Reject or verify / high risk,150,0.30060120240480964,0.07285740782959244,0.08,0.92,0.0048924271801589,0.127387578623015
