bin_left,bin_right,count,mean_pred_correct,empirical_correct,empirical_wrong
0.0,0.1,509,0.02843015967174769,0.06286836935166994,0.93713163064833
0.1,0.2,1219,0.15021037534196327,0.1468416735028712,0.8531583264971287
0.2,0.30000000000000004,324,0.2391244876150593,0.2962962962962963,0.7037037037037037
0.30000000000000004,0.4,456,0.3760774189818495,0.34210526315789475,0.6578947368421053
0.4,0.5,2,0.46008302544529317,1.0,0.0
0.5,0.6000000000000001,304,0.5850381112068618,0.5296052631578947,0.47039473684210525
0.6000000000000001,0.7000000000000001,3,0.6177255863225145,0.6666666666666666,0.3333333333333333
0.7000000000000001,0.8,168,0.7850390737375076,0.75,0.25
0.8,0.9,5,0.8621829891465165,1.0,0.0
0.9,1.0,4,0.9646769564409808,1.0,0.0
