bin_left,bin_right,count,mean_pred_correct,empirical_correct,empirical_wrong
0.0,0.1,12,0.014135461032796101,0.0,1.0
0.1,0.2,938,0.19041169288833645,0.18336886993603413,0.8166311300639659
0.2,0.30000000000000004,909,0.2672240144734086,0.30033003300330036,0.6996699669966997
0.30000000000000004,0.4,411,0.39576965264748853,0.34549878345498786,0.6545012165450121
0.4,0.5,6,0.4661661008273261,0.16666666666666666,0.8333333333333334
0.5,0.6000000000000001,124,0.5649004999692764,0.5161290322580645,0.4838709677419355
0.6000000000000001,0.7000000000000001,496,0.6021463776841698,0.6068548387096774,0.39314516129032256
0.7000000000000001,0.8,66,0.7519305278299964,0.7727272727272727,0.22727272727272727
0.8,0.9,6,0.8306215834825043,0.8333333333333334,0.16666666666666666
0.9,1.0,1,0.9317620562548933,0.0,1.0
