bin_left,bin_right,count,mean_pred_correct,empirical_correct,empirical_wrong
0.0,0.1,38,0.003853340407423664,0.02631578947368421,0.9736842105263158
0.1,0.2,437,0.1427979398273929,0.08009153318077804,0.919908466819222
0.2,0.30000000000000004,497,0.25484393806934774,0.17706237424547283,0.8229376257545271
0.30000000000000004,0.4,319,0.3668253469770525,0.26959247648902823,0.7304075235109718
0.4,0.5,51,0.42650357760162794,0.27450980392156865,0.7254901960784313
0.5,0.6000000000000001,504,0.5150919107244621,0.44841269841269843,0.5515873015873016
0.6000000000000001,0.7000000000000001,439,0.6396140170515893,0.662870159453303,0.33712984054669703
0.7000000000000001,0.8,250,0.7288237895347018,0.82,0.18
0.8,0.9,263,0.8480440128317076,0.9125475285171103,0.08745247148288973
0.9,1.0,1,0.9168678993739264,1.0,0.0
