bin_left,bin_right,count,mean_pred_correct,empirical_correct,empirical_wrong
0.0,0.1,16,0.0005730874799127389,0.125,0.875
0.1,0.2,1319,0.1488062157991366,0.15011372251705837,0.8498862774829417
0.2,0.30000000000000004,833,0.2748451282699589,0.25090036014405764,0.7490996398559424
0.30000000000000004,0.4,513,0.3757181891384855,0.4152046783625731,0.5847953216374269
0.4,0.5,7,0.44023141615456923,0.14285714285714285,0.8571428571428571
0.5,0.6000000000000001,240,0.534624024815495,0.5958333333333333,0.4041666666666667
0.6000000000000001,0.7000000000000001,2,0.6375504579164418,1.0,0.0
0.7000000000000001,0.8,1,0.7025177387300483,1.0,0.0
0.8,0.9,2,0.8365490011109258,0.0,1.0
0.9,1.0,6,0.9446022060517597,0.6666666666666666,0.3333333333333333
