bin_left,bin_right,count,mean_pred_correct,empirical_correct,empirical_wrong
0.0,0.1,1025,0.06687606158297749,0.0975609756097561,0.9024390243902439
0.1,0.2,383,0.15720593455991336,0.14360313315926893,0.856396866840731
0.2,0.30000000000000004,581,0.2192034055876401,0.24268502581755594,0.7573149741824441
0.30000000000000004,0.4,479,0.35173666036002027,0.31941544885177453,0.6805845511482255
0.4,0.5,2,0.44540696161704785,1.0,0.0
0.5,0.6000000000000001,333,0.583009626437033,0.4984984984984985,0.5015015015015015
0.6000000000000001,0.7000000000000001,16,0.6708842740749075,0.8125,0.1875
0.7000000000000001,0.8,156,0.7716280849412512,0.7435897435897436,0.2564102564102564
0.8,0.9,15,0.8165958466359905,0.8666666666666667,0.13333333333333333
0.9,1.0,3,0.9560241321492539,1.0,0.0
