band,count,fraction,avg_predicted_reliability,empirical_valid_rate,empirical_risk,min_score,max_score
Accept / low risk,146,0.3004115226337449,0.6207917360284232,0.6712328767123288,0.3287671232876712,0.5526354580769516,0.7995343283946981
Review / medium risk,194,0.3991769547325103,0.4871774682442893,0.4793814432989691,0.5206185567010309,0.4193891168365046,0.5511869928650934
Reject or verify / high risk,146,0.3004115226337449,0.3363123159698483,0.3493150684931507,0.6506849315068493,0.1471820744624532,0.4179060277354539
