band,count,fraction,avg_predicted_reliability,empirical_valid_rate,empirical_risk,min_score,max_score
Accept / low risk,146,0.3004115226337449,0.6730685746197168,0.636986301369863,0.363013698630137,0.586712750553793,0.9573029794404424
Review / medium risk,194,0.3991769547325103,0.4758935368994004,0.5257731958762887,0.4742268041237113,0.3998965308545121,0.5845896397289613
Reject or verify / high risk,146,0.3004115226337449,0.3199645161707024,0.3219178082191781,0.678082191780822,0.1326377599817613,0.399552236464656
