coverage,kept,threshold_used,avg_confidence,selective_accuracy,risk
0.10082304526748971,49,0.6310663996746699,0.6896598678470947,0.7551020408163265,0.24489795918367352
0.15020576131687244,73,0.6049171947002814,0.6658600142478979,0.7534246575342466,0.2465753424657534
0.19958847736625515,97,0.5834400364945478,0.6475964732657581,0.7731958762886598,0.22680412371134018
0.25102880658436216,122,0.5671347451007464,0.6328433256580132,0.6967213114754098,0.30327868852459017
0.3004115226337449,146,0.5526354580769516,0.6207917360284232,0.6712328767123288,0.3287671232876712
0.3497942386831276,170,0.5327025639474929,0.6095164302242266,0.6588235294117647,0.3411764705882353
0.3991769547325103,194,0.5155791338187237,0.5986438280276831,0.634020618556701,0.365979381443299
0.4506172839506173,219,0.5017701846635418,0.5884171382644044,0.6027397260273972,0.3972602739726028
0.5,243,0.4882848603039763,0.5792131737043886,0.5925925925925926,0.40740740740740744
0.5493827160493827,267,0.4759285088130595,0.5705606542483781,0.5805243445692884,0.41947565543071164
0.6008230452674898,292,0.4586078202370999,0.5616125971832328,0.5684931506849316,0.43150684931506844
0.6502057613168725,316,0.4402573022886495,0.5531077429744532,0.560126582278481,0.439873417721519
0.6995884773662552,340,0.4193891168365046,0.5445530067633586,0.5617647058823529,0.43823529411764706
0.7489711934156379,364,0.39231197783572,0.5353614531666502,0.5439560439560439,0.4560439560439561
0.8004115226337448,389,0.3765265507792677,0.5256597751849382,0.5398457583547558,0.4601542416452442
0.8497942386831275,413,0.3541939862443238,0.5162020494366919,0.5278450363196125,0.47215496368038745
0.8991769547325102,437,0.3183258493673714,0.5062141536017939,0.5194508009153318,0.4805491990846682
0.9506172839506173,462,0.2764636590289317,0.4950700126631848,0.5086580086580087,0.4913419913419913
1.0,486,0.1471820744624532,0.4819951037677773,0.49794238683127573,0.5020576131687242
