band,count,fraction,avg_predicted_reliability,empirical_valid_rate,empirical_risk,min_score,max_score
Accept / low risk,146,0.3004115226337449,0.6638429640873184,0.6917808219178082,0.3082191780821918,0.5746834503631383,0.900167914835372
Review / medium risk,194,0.3991769547325103,0.48451700220768423,0.5154639175257731,0.48453608247422686,0.3934496822586344,0.57432310049329
Reject or verify / high risk,146,0.3004115226337449,0.3120455556962095,0.2808219178082192,0.7191780821917808,0.1510233387590117,0.3928442636695933
