coverage,kept,threshold_used,avg_confidence,selective_accuracy,risk
0.10082304526748971,49,0.6854397946246731,0.7435249582571685,0.7551020408163265,0.24489795918367352
0.15020576131687244,73,0.6492029632065656,0.7177565813613555,0.7808219178082192,0.2191780821917808
0.19958847736625515,97,0.6219466305251142,0.6965186209623813,0.7422680412371134,0.25773195876288657
0.25102880658436216,122,0.5982747591896496,0.6788902285670154,0.7049180327868853,0.29508196721311475
0.3004115226337449,146,0.5746834503631383,0.6638429640873184,0.6917808219178082,0.3082191780821918
0.3497942386831276,170,0.5508513800447261,0.649543039023739,0.6647058823529411,0.33529411764705885
0.3991769547325103,194,0.5349920025105469,0.6364207448536043,0.6597938144329897,0.3402061855670103
0.4506172839506173,219,0.5093340660326434,0.6232404356202104,0.634703196347032,0.365296803652968
0.5,243,0.4880205787296819,0.6106935434518318,0.6213991769547325,0.37860082304526754
0.5493827160493827,267,0.4618049071949571,0.5982956260707285,0.6067415730337079,0.3932584269662921
0.6008230452674898,292,0.4364671903130303,0.5853026645130541,0.5958904109589042,0.40410958904109584
0.6502057613168725,316,0.4195819766862951,0.5733097065876931,0.5981012658227848,0.4018987341772152
0.6995884773662552,340,0.3934496822586344,0.5615216799559977,0.5911764705882353,0.4088235294117647
0.7489711934156379,364,0.3705240423665029,0.5497708224012446,0.5714285714285714,0.4285714285714286
0.8004115226337448,389,0.3492762196026703,0.5374608390845163,0.5604113110539846,0.43958868894601544
0.8497942386831275,413,0.32051629914137,0.5258216768343851,0.5423728813559322,0.4576271186440678
0.8991769547325102,437,0.2959433454126827,0.5139373884082418,0.528604118993135,0.471395881006865
0.9506172839506173,462,0.2481845280175134,0.5005318731149553,0.5064935064935064,0.49350649350649356
1.0,486,0.1510233387590117,0.48657617760634936,0.49794238683127573,0.5020576131687242
