coverage,kept,threshold_used,avg_confidence,selective_accuracy,risk
0.10082304526748971,49,0.6841699808901097,0.7557341885300716,0.8163265306122449,0.18367346938775508
0.15020576131687244,73,0.6499266514747228,0.7237867149151902,0.7123287671232876,0.28767123287671237
0.19958847736625515,97,0.6367472832462693,0.7035686763201066,0.7010309278350515,0.2989690721649485
0.25102880658436216,122,0.6148373076925718,0.6874072340702626,0.6475409836065574,0.35245901639344257
0.3004115226337449,146,0.586712750553793,0.6730685746197168,0.636986301369863,0.363013698630137
0.3497942386831276,170,0.534759604793081,0.6578490325533235,0.6470588235294118,0.3529411764705882
0.3991769547325103,194,0.4923569575854647,0.6392351732325745,0.634020618556701,0.365979381443299
0.4506172839506173,219,0.4816634015338943,0.6217758372787736,0.6210045662100456,0.3789954337899544
0.5,243,0.4713550359027419,0.607425829619089,0.6049382716049383,0.3950617283950617
0.5493827160493827,267,0.4606871957616567,0.5947205958839014,0.6142322097378277,0.38576779026217234
0.6008230452674898,292,0.4459770740902962,0.5825261605878103,0.6027397260273972,0.3972602739726028
0.6502057613168725,316,0.4313505797805224,0.5715962867176896,0.5854430379746836,0.41455696202531644
0.6995884773662552,340,0.3998965308545121,0.5605628178028303,0.5735294117647058,0.42647058823529416
0.7489711934156379,364,0.3780554778691147,0.5492455762315449,0.5659340659340659,0.4340659340659341
0.8004115226337448,389,0.3577302328966634,0.537490958415288,0.5552699228791774,0.4447300771208226
0.8497942386831275,413,0.3295846862398444,0.5261843875102331,0.5302663438256658,0.46973365617433416
0.8991769547325102,437,0.3015946208472341,0.514532074311837,0.5148741418764302,0.4851258581235698
0.9506172839506173,462,0.257498034206905,0.501808897146949,0.5021645021645021,0.49783549783549785
1.0,486,0.1326377599817613,0.4882843156664298,0.49794238683127573,0.5020576131687242
