feature_group,n_rows,n_features,train_size,test_size,accuracy,roc_auc
difficulty_only,100,4,65,35,0.8285714285714286,0.8295454545454546
difficulty_plus_token,100,11,65,35,0.8285714285714286,0.8257575757575757
token_only,100,7,65,35,0.7714285714285715,0.7651515151515151
difficulty_plus_region,100,241,65,35,0.6857142857142857,0.7424242424242424
token_plus_region,100,244,65,35,0.6857142857142857,0.7272727272727273
region_attention_only,100,237,65,35,0.7142857142857143,0.7159090909090908
full_combined,100,318,65,35,0.6571428571428571,0.6666666666666666
pooled_attention_only,100,70,65,35,0.6857142857142857,0.6136363636363636
