split,n_samples,base_correct_rate,base_wrong_rate,auroc_correct,auprc_correct,brier_correct,ece_correct
train,3000,0.259,0.741,0.9591476959898012,0.9071665886762053,0.05872271612363843,0.023743176671828972
val,500,0.238,0.762,0.9359932949557775,0.8563217562126942,0.06661188081931979,8.326672684688674e-18
test,500,0.24,0.76,0.9263157894736843,0.8494042159479309,0.06679744167326244,0.016877531899217226
