bin_left,bin_right,count,mean_pred_correct,empirical_correct,empirical_wrong
0.0,0.1,164,0.04759889835536821,0.10975609756097561,0.8902439024390244
0.1,0.2,904,0.14843654235125334,0.18252212389380532,0.8174778761061947
0.2,0.30000000000000004,563,0.22285705743053624,0.20603907637655416,0.7939609236234458
0.30000000000000004,0.4,882,0.32657359461145924,0.30045351473922904,0.699546485260771
0.4,0.5,477,0.40284256910277033,0.4129979035639413,0.5870020964360587
0.5,0.6000000000000001,3,0.5474322770085954,0.3333333333333333,0.6666666666666666
0.6000000000000001,0.7000000000000001,1,0.653975373547979,1.0,0.0
0.7000000000000001,0.8,1,0.7649278534722355,1.0,0.0
0.8,0.9,2,0.8705860079025505,1.0,0.0
0.9,1.0,1,0.9836182340304185,1.0,0.0
