split,n_samples,base_correct_rate,base_wrong_rate,auroc_correct,auprc_correct,brier_correct,ece_correct
train,3000,0.345,0.655,0.8474339590170987,0.7228237714829032,0.1502733681477442,0.03864467433100084
val,500,0.362,0.638,0.7870243682779405,0.6731793452138105,0.17156116527584184,6.85285161949878e-17
test,500,0.336,0.6639999999999999,0.7588747848537005,0.6058986221592396,0.18380402578294808,0.052337118080228076
