split,n_samples,base_correct_rate,base_wrong_rate,auroc_correct,auprc_correct,brier_correct,ece_correct
train,3000,0.003,0.997,0.9370890449125153,0.14518395596173372,0.00394213935672833,0.005182420722692336
val,500,0.008,0.992,0.995211693548387,0.46590909090909094,0.004600000000000001,0.0
test,500,0.004,0.996,0.9939759036144579,0.25,0.004578385209218218,0.006991756143151753
