split,num_nodes,count,fraction
train,5,750,0.2501667778519013
train,10,750,0.2501667778519013
train,15,750,0.2501667778519013
train,20,748,0.2494996664442962
val,5,125,0.25
val,10,125,0.25
val,15,125,0.25
val,20,125,0.25
test,5,125,0.250501002004008
test,10,125,0.250501002004008
test,15,125,0.250501002004008
test,20,124,0.24849699398797595
