bin_left,bin_right,count,mean_pred_correct,empirical_correct,empirical_wrong
0.0,0.1,15,0.0007955162382872751,0.0,1.0
0.1,0.2,518,0.16756818080557934,0.14285714285714285,0.8571428571428571
0.2,0.30000000000000004,1380,0.26420285210030703,0.2753623188405797,0.7246376811594203
0.30000000000000004,0.4,230,0.37670131518190025,0.3739130434782609,0.6260869565217392
0.4,0.5,70,0.425718175166178,0.4142857142857143,0.5857142857142857
0.5,0.6000000000000001,659,0.5540357263748266,0.5553869499241275,0.44461305007587254
0.6000000000000001,0.7000000000000001,3,0.6552693144689266,0.3333333333333333,0.6666666666666666
0.7000000000000001,0.8,89,0.7493095783853735,0.7303370786516854,0.2696629213483146
0.8,0.9,4,0.8598947782012101,0.75,0.25
0.9,1.0,2,0.9251926787959253,1.0,0.0
