split,num_nodes,count,fraction
train,5,750,0.25075225677031093
train,10,750,0.25075225677031093
train,15,747,0.24974924774322968
train,20,744,0.24874623871614845
val,5,125,0.25
val,10,125,0.25
val,15,125,0.25
val,20,125,0.25
test,5,125,0.25
test,10,125,0.25
test,15,125,0.25
test,20,125,0.25
